id,doi,year,auteurs,title,review,keywords,text,methods,fields,remarque,,,,,,,,,,,,,,,,,,,,,
1,,1988,"Beard, John D.; Williams, David L.",Increasing the effectiveness of direct mail copy through the use of readability measures,Journal of Direct Marketing,"direct marketing, readability, copy strategy","This article presents a potentially valuable, yet seldom used tool for direct marketing: readability formulas. They can be used to increase the effectiveness of direct mail copy for technical products and services. Among the many theoretical tools available to determine if copy is readable for the intended audience, readability formulas provide a logical starting place to measure copy for its clarity and style. For the marketing practitioner, readability formulas are objective measures that can save time and money in field testing; for the marketing researcher, readability formulas lend themselves well to experimentation because they quantify differences in copy; and for the marketing educator, readability measures are valuable pedagogical tools to train copy writers.",Readability,direct marketing,,,,,,,,,,,,,,,,,,,,,,
2,,2007,"Eliashberg, Jehoshua; Hui, Sam K.; Zhang, Z. John",From Story Line to Box Office: A New Approach for Green-Lighting Movie Scripts,Management Science,"entertainment industry,new product development forecasting,contingency data analysis, ROI","Movie studios often have to choose among thousands of scripts to decide which ones to turn into movies. Despite the huge amount of money at stake, this process—known as green-lighting in the movie industry—is largely a guesswork based on experts’ experience and intuitions. In this paper, we propose a new approach to help studios evaluate scripts that will then lead to more profitable green-lighting decisions. Our approach combines screenwriting domain knowledge, natural-language processing techniques, and statistical learning methods to forecast a movie’s return on investment (ROI) based only on textual information available in movie scripts. We test our model in a holdout decision task to show that our model is able to significantly improve a studio’s gross ROI.",predictive model,movie,,,,,,,,,,,,,,,,,,,,,,
3,,2008,"Pekar, Viktor; Shiyan Ou",Discovery of subjective evaluations of product features in hotel reviews,Journal of Vacation Marketing,"blogs, customer reviews, market research, opinion mining","Automated discovery and analysis of customer opinions on the web holds a lot of promise for present-day practices of market research and customer relationship management. Opinion mining attempts to come up with ways to automatically analyse subjectivity expressed in natural language text. Previous research on the topic has shown that the overall subjectivity expressed in a document, such as a customer review, can be assessed with accuracy that is feasible in real-world applications. In this paper, we address the challenge of identification of customer opinions expressed towards specific features of a product, such as service quality and location of a hotel. The paper proposes and investigates a method to recognize the relationships between subjective expressions and references to features of a product. While the method has been evaluated on customer hotel reviews, it can potentially find application also in many tasks where concrete statements need to be extracted from documents on heterogeneous topics such as posts in forums, comments on blogs, or utterances in a chat room.",opinion mining,hospitality,,,,,,,,,,,,,,,,,,,,,,
4,,2008,"Sawyer, Alan G.; Laran, Juliano; Xu, Jun",The Readability of Marketing Journals: Are Award-Winning Articles Better Written?,Journal of Marketing,"readability, award-winning articles, marketing journals, path analysis","This is a study of the readability of articles in four marketing journals: Journal of Marketing, Journal of Marketing Research, Journal of International Marketing, and Journal of Public Policy & Marketing. For each journal, the authors compare articles that have won an award with articles that have not. The authors find that award-winning articles are more readable, as measured by indexes focusing on sentence and word length, than nonwinning articles. The authors also identify and analyze other characteristics of more readable journal articles and discuss the importance of good writing.",Readability,publishing,,,,,,,,,,,,,,,,,,,,,,
5,,2010,"Nielek, Radoslaw; Wawer, Aleksander; Wierzbicki, Adam",Spiral of hatred: social effects in Internet auctions. Between informativity and emotion,Electronic Commerce Research,"Auction ,Trust management,Sentiment , Informativity , Behaviour","An auction platform is a dynamic environment where a rich variety of social effects can be observed. Most of those effects remain unnoticed or even hidden to ordinary users. The in-depth studies of such effects should allow us to identify and understand the key factors influencing users’ behaviour. The material collected from the biggest Polish auction house has been analyzed. NLP algorithms were applied to extract sentiment-related content from collected comments and to measure informativity. Emotional distance between negative, neutral and positive comments has been calculated. The obtained results confirm the existence of the spiral-of-hatred effect but also indicate that much more complex patterns of mutual relations between sellers and buyers exist. The last section contains a several suggestions which can prove useful to improve trustworthiness of users’ reports and security of an auction platform in general.",Sentiment,Auction,,,,,,,,,,,,,,,,,,,,,,
6,,2011,"Lee, Myong Jae; Singh, Neha; Chan, Eric S.W.",Service failures and recovery actions in the hotel industry: A text-mining approach,Journal of Vacation Marketing,"critical incident technique, service failure, service recovery, text-mining approach",The purpose of this article is to cluster service failures and recovery actions in the hotel industry. Keywords were extracted from the descriptive responses of hotel guests and systematically clustered to identify major areas of service failures and recovery actions in the hotel industry. Two sets of textual data (service failure and service recovery) were collected from 75 hotel guests using the critical incident technique and content-analyzed with a text-mining program. Text-mining analysis identified 50 keywords in eight clusters from the service failure data and 50 keywords in seven clusters from the service recovery data. The identified keywords were conceptually graphed to map meaningful findings that are logically precise and computationally tractable. The major theoretical and practical implications are also discussed in this study.,clustering,hospitality,,,,,,,,,,,,,,,,,,,,,,
7,,2011,"Lee, Thomas Y.; Bradlow, Eric T.",Automated Marketing Research Using Online Customer Reviews,Journal of Marketing Research,"market structure analysis, online customer reviews, text mining","Market structure analysis is a basic pillar of marketing research. Classic challenges in marketing such as pricing, campaign management, brand positioning, and new product development are rooted in an analysis of product substitutes and complements inferred from market structure. In this article, the authors present a method to support the analysis and visualization of market structure by automatically eliciting product attributes and brand's relative positions from online customer reviews. First, the method uncovers attributes and attribute dimensions using the “voice of the consumer,” as reflected in customer reviews, rather than that of manufacturers. Second, the approach runs automatically. Third, the process supports rather than supplants managerial judgment by reinforcing or augmenting attributes and dimensions found through traditional surveys and focus groups. The authors test the approach on six years of customer reviews for digital cameras during a period of rapid market evolution. They analyze and visualize results in several ways, including comparisons with expert buying guides, a laboratory survey, and correspondence analysis of automatically discovered product attributes. The authors evaluate managerial insights drawn from the analysis with respect to proprietary market research reports from the same period analyzing digital imaging products.",,appliance,,,,,,,,,,,,,,,,,,,,,,
8,,2011,"Singh, Surendra N.; Hillmer, Steve; Wang, Ze",Efficient Methods for Sampling Responses from Large-Scale Qualitative Data,Marketing Science,"consumer-generated media, consumer-generated content, customer feedback on the Web, text mining, qualitative comments,large-scale qualitative data sets,sampling open-ended questions","The World Wide Web contains a vast corpus of consumer-generated content that holds invaluable insights for improving the product and service offerings of firms. Yet the typical method for extracting diagnostic information from online content—text mining—has limitations. As a starting point, we propose analyzing a sample of comments before initiating text mining. Using a combination of real data and simulations, we demonstrate that a sampling procedure that selects respondents whose comments contain a large amount of information is superior to the two most popular sampling methods—simple random sampling and stratified random sampling—-in gaining insights from the data. In addition, we derive a method that determines the probability of observing diagnostic information repeated a specific number of times in the population, which will enable managers to base sample size decisions on the trade-off between obtaining additional diagnostic information and the added expense of a larger sample. We provide an illustration of one of the methods using a real data set from a website containing qualitative comments about staying at a hotel and demonstrate how sampling qualitative comments can be a useful first step in text mining.",,"very large sample, hospitality",,,,,,,,,,,,,,,,,,,,,,
9,,2012,"Netzer, Oded; Feldman, Ronen; Goldenberg, Jacob; Fresko, Moshe",Mine Your Own Business: Market-Structure Surveillance Through Text Mining,Marketing Science,"text mining, user-generated content, market structure,marketing research","Web 2.0 provides gathering places for Internet users in blogs, forums, and chat rooms. These gathering places leave footprints in the form of colossal amounts of data regarding consumers’ thoughts, beliefs, experiences, and even interactions. In this paper, we propose an approach for firms to explore online user-generated","MDS, CA, Networks analysis",,,,,,,,,,,,,,,,,,,,,,,
10,,2013,"Ludwig, Stephan; de Ruyter, Ko; Friedman, Mike; Brüggen, Elisabeth C.; Wetzels, Martin; Pfann, Gerard",More than Words: The Influence of Affective Content and Linguistic Style Matches in Online Reviews on Conversion Rates,Journal of Marketing,"online customer reviews, affective content, linguistic style match, conversion rate, Internet marketing","Customers increasingly rely on other consumers' reviews to make purchase decisions online. New insights into the customer review phenomenon can be derived from studying the semantic content and style properties of verbatim customer reviews to examine their influence on online retail sites' conversion rates. The authors employ text mining to extract changes in affective content and linguistic style properties of customer book reviews on Amazon.com. A dynamic panel data model reveals that the influence of positive affective content on conversion rates is asymmetrical, such that greater increases in positive affective content in customer reviews have a smaller effect on subsequent increases in conversion rate. No such tapering-off effect occurs for changes in negative affective content in reviews. Furthermore, positive changes in affective cues and increasing congruence with the product interest group's typical linguistic style directly and conjointly increase conversion rates. These findings suggest that managers should identify and promote the most influential reviews in a given product category, provide instructions to stimulate reviewers to write powerful reviews, and adapt the style of their own editorial reviews to the relevant product category.","stylometry,sentiment","books, reviews, amazon",,,,,,,,,,,,,,,,,,,,,,
