year,nb_total_scopus,nb_management,nb_socialscience
1981,1,0,1
1987,1,0,0
1990,1,0,0
1991,2,0,0
1992,1,0,1
1993,2,0,0
1994,4,0,0
1995,6,0,2
1996,7,1,1
1997,10,0,0
1998,26,0,1
1999,29,0,1
2000,45,0,4
2001,61,0,1
2002,53,0,2
2003,92,0,5
2004,107,2,4
2005,129,3,5
2006,190,3,7
2007,243,4,13
2008,277,8,9
2009,396,8,31
2010,476,19,26
2011,636,29,48
2012,810,42,56
2013,999,51,79
2014,1239,88,102
2015,1505,150,148
2016,1851,199,220
2017,2257,302,273
2018,2771,375,393
2019,3468,567,600
2020,4781,857,869
2021,6186,1068,1300
2022,7754,1530,1714
2023,9288,1956,1992
